"Var1","Freq"
"255","Nesomys rufus",1039
"256","Nothocercus bonapartei",6
"257","Nothocrax urumutum",2580
"258","Numida meleagris",9
"259","Odocoileus virginianus",7411
"260","Odontophorus gujanensis",364
"261","Odontophorus guttatus",60
"262","Odontophorus leucolaemus",3
"263","Odontophorus stellatus",309
"264","Orycteropus afer",254
"265","Paguma larvata",69
"266","Panthera onca",1642
"267","Panthera pardus",1878
"268","Panthera tigris",147
"269","Pan troglodytes",6790
"270","Papio anubis",2079
"271","Papio cynocephalus",128
"272","Paradoxurus hermaphroditus",171
"273","Paraxerus boehmi",456
"274","Paraxerus vexillarius",1286
"275","Pardofelis marmorata",49
"276","Pardofelis temminckii",96
"277","Patagioenas plumbea",3
"278","Pecari tajacu",95944
"279","Pellorneum capistratum",48
"280","Penelope jacquacu",779
"281","Penelope marail",15
"282","Penelope pileata",24
"283","Penelope purpurascens",114
"284","Penelope superciliaris",18
"285","Petrodromus tetradactylus",411
"286","Phaethornis longirostris",1
"287","Phataginus tricuspis",353
"288","Philander andersoni",70
"289","Philander opossum",1179
"290","Philantomba monticola",74275
"291","Picathartes oreas",80
"292","Pithecia pithecia",3
"293","Pitta angolensis",10
"294","Pitta guajana",6
"295","Pitta moluccensis",3
"296","Polyplectron bicalcaratum",38
"297","Potamochoerus larvatus",4841
"298","Potamochoerus porcus",12547
"299","Presbytis melalophos",14
"300","Presbytis siamensis",160
"301","Priodontes maximus",854
"302","Prionailurus bengalensis",210
"303","Prionailurus planiceps",21
"304","Prionodon linsang",54
"305","Prionodon pardicolor",1
"306","Procolobus gordonorum",65
"307","Procyon cancrivorus",490
"308","Procyon lotor",3
"309","Proechimys brevicauda",3468
"310","Proechimys cuvieri",45
"311","Proechimys guyannensis",557
"312","Proechimys semispinosus",8133
"313","Proechimys steerei",22
"314","Prolemur simus",7
"315","Propithecus edwardsi",39
"316","Protoxerus stangeri",858
"317","Psophia crepitans",34849
"318","Psophia leucoptera",4560
"319","Psophia viridis",2373
"320","Pteronura brasiliensis",3
"321","Puma concolor",1869
"322","Puma yagouaroundi",988
"323","Rallus caerulescens",1
"324","Rallus madagascariensis",33
"325","Ramphastos tucanus",117
"326","Rattus rattus",219
"327","Ratufa bicolor",6
"328","Rhinosciurus laticaudatus",3
"329","Rhizomys sumatrensis",9
"330","Rhynchocyon cirnei",90
"331","Rhynchocyon udzungwensis",1876
"332","Rollulus rouloul",19
"333","Rusa unicolor",1336
"334","Saimiri boliviensis",38
"335","Saimiri sciureus",86
"336","Sarothrura watersi",1
"337","Schistocichla leucostigma",3
"338","Sciurus aestuans",150
"339","Sciurus granatensis",1528
"340","Sciurus ignitus",639
"341","Sciurus igniventris",2868
"342","Sciurus spadiceus",284
"343","Sciurus variegatoides",27
"344","Sciurus vulgaris",10
"345","Sciurus yucatanensis",9
"346","Sclerurus mexicanus",9
"347","Setifer setosus",45
"348","Smutsia gigantea",106
"349","Speothos venaticus",189
"350","Sphiggurus mexicanus",2
"351","Spizaetus ornatus",63
"352","Stiphrornis erythrothorax",20
"353","Sundasciurus hippurus",46
"354","Sundasciurus lowii",6
"355","Sundasciurus tenuis",6
"356","Sus scrofa",20303
"357","Sylvilagus brasiliensis",753
"358","Symphalangus syndactylus",5
"359","Syncerus caffer",285
"360","Tachyphonus cristatus",119
"361","Tamandua mexicana",1227
"362","Tamandua tetradactyla",371
"363","Tapirus bairdii",4663
"364","Tapirus indicus",2093
"365","Tapirus terrestris",19297
"366","Tayassu pecari",25496
"367","Tenrec ecaudatus",82
"368","Threnetes niger",10
"369","Thryonomys gregorianus",3
"370","Thryonomys swinderianus",52
"371","Tigrisoma lineatum",3
"372","Tinamus guttatus",130
"373","Tinamus major",9509
"374","Tinamus tao",645
"375","Trachypithecus obscurus",96
"376","Tragelaphus eurycerus",11
"377","Tragelaphus scriptus",221
"378","Tragelaphus spekii",126
"379","Tragulus javanicus",495
"380","Tragulus kanchil",1459
"381","Tragulus napu",489
"382","Tremarctos ornatus",33
"383","Trichys fasciculata",3
"384","Tupaia belangeri",21
"385","Tupaia glis",372
"386","Tupaia tana",69
"387","Turdus albicollis",42
"388","Turtur afer",81
"389","Turtur brehmeri",1018
"390","Turtur tympanistria",190
"391","Viverra megaspila",3
"392","Viverra zibetha",27
"393","Xenoperdix udzungwensis",3
"394","Zoothera gurneyi",3
