"Var1","Var2","Var3","Freq"
"193","BBS","2012.01","Agelastes niger",0
"194","BCI","2012.01","Agelastes niger",0
"195","BIF","2012.01","Agelastes niger",0
"196","CAX","2012.01","Agelastes niger",0
"197","COU","2012.01","Agelastes niger",0
"198","CSN","2012.01","Agelastes niger",0
"199","KRP","2012.01","Agelastes niger",3251
"200","MAS","2012.01","Agelastes niger",0
"201","NAK","2012.01","Agelastes niger",0
"202","NNN","2012.01","Agelastes niger",160
"203","PSH","2012.01","Agelastes niger",0
"204","RNF","2012.01","Agelastes niger",0
"205","UDZ","2012.01","Agelastes niger",0
"206","VB-","2012.01","Agelastes niger",0
"207","YAN","2012.01","Agelastes niger",0
"208","YAS","2012.01","Agelastes niger",0
"209","BBS","2013.01","Agelastes niger",0
"210","BCI","2013.01","Agelastes niger",0
"211","BIF","2013.01","Agelastes niger",0
"212","CAX","2013.01","Agelastes niger",0
"213","COU","2013.01","Agelastes niger",0
"214","CSN","2013.01","Agelastes niger",0
"215","KRP","2013.01","Agelastes niger",0
"216","MAS","2013.01","Agelastes niger",0
"217","NAK","2013.01","Agelastes niger",0
"218","NNN","2013.01","Agelastes niger",0
"219","PSH","2013.01","Agelastes niger",0
"220","RNF","2013.01","Agelastes niger",0
"221","UDZ","2013.01","Agelastes niger",0
"222","VB-","2013.01","Agelastes niger",0
"223","YAN","2013.01","Agelastes niger",0
"224","YAS","2013.01","Agelastes niger",0
"225","BBS","2007.01","Alethe diademata",0
"226","BCI","2007.01","Alethe diademata",0
"227","BIF","2007.01","Alethe diademata",0
"228","CAX","2007.01","Alethe diademata",0
"229","COU","2007.01","Alethe diademata",0
"230","CSN","2007.01","Alethe diademata",0
"231","KRP","2007.01","Alethe diademata",0
"232","MAS","2007.01","Alethe diademata",0
"233","NAK","2007.01","Alethe diademata",0
"234","NNN","2007.01","Alethe diademata",0
"235","PSH","2007.01","Alethe diademata",0
"236","RNF","2007.01","Alethe diademata",0
"237","UDZ","2007.01","Alethe diademata",0
"238","VB-","2007.01","Alethe diademata",0
"239","YAN","2007.01","Alethe diademata",0
"240","YAS","2007.01","Alethe diademata",0
"241","BBS","2008.01","Alethe diademata",0
"242","BCI","2008.01","Alethe diademata",0
"243","BIF","2008.01","Alethe diademata",0
"244","CAX","2008.01","Alethe diademata",0
"245","COU","2008.01","Alethe diademata",0
"246","CSN","2008.01","Alethe diademata",0
"247","KRP","2008.01","Alethe diademata",0
"248","MAS","2008.01","Alethe diademata",0
"249","NAK","2008.01","Alethe diademata",0
"250","NNN","2008.01","Alethe diademata",0
"251","PSH","2008.01","Alethe diademata",0
"252","RNF","2008.01","Alethe diademata",0
"253","UDZ","2008.01","Alethe diademata",0
"254","VB-","2008.01","Alethe diademata",0
"255","YAN","2008.01","Alethe diademata",0
"256","YAS","2008.01","Alethe diademata",0
"257","BBS","2009.01","Alethe diademata",0
"258","BCI","2009.01","Alethe diademata",0
"259","BIF","2009.01","Alethe diademata",0
"260","CAX","2009.01","Alethe diademata",0
"261","COU","2009.01","Alethe diademata",0
"262","CSN","2009.01","Alethe diademata",0
"263","KRP","2009.01","Alethe diademata",0
"264","MAS","2009.01","Alethe diademata",0
"265","NAK","2009.01","Alethe diademata",0
"266","NNN","2009.01","Alethe diademata",0
"267","PSH","2009.01","Alethe diademata",0
"268","RNF","2009.01","Alethe diademata",0
"269","UDZ","2009.01","Alethe diademata",0
"270","VB-","2009.01","Alethe diademata",0
"271","YAN","2009.01","Alethe diademata",0
"272","YAS","2009.01","Alethe diademata",0
"273","BBS","2010.01","Alethe diademata",0
"274","BCI","2010.01","Alethe diademata",0
"275","BIF","2010.01","Alethe diademata",0
"276","CAX","2010.01","Alethe diademata",0
"277","COU","2010.01","Alethe diademata",0
"278","CSN","2010.01","Alethe diademata",0
"279","KRP","2010.01","Alethe diademata",0
"280","MAS","2010.01","Alethe diademata",0
"281","NAK","2010.01","Alethe diademata",0
"282","NNN","2010.01","Alethe diademata",0
"283","PSH","2010.01","Alethe diademata",0
"284","RNF","2010.01","Alethe diademata",0
"285","UDZ","2010.01","Alethe diademata",0
"286","VB-","2010.01","Alethe diademata",0
"287","YAN","2010.01","Alethe diademata",0
"288","YAS","2010.01","Alethe diademata",0
"289","BBS","2011.01","Alethe diademata",0
"290","BCI","2011.01","Alethe diademata",0
"291","BIF","2011.01","Alethe diademata",0
"292","CAX","2011.01","Alethe diademata",0
"293","COU","2011.01","Alethe diademata",0
"294","CSN","2011.01","Alethe diademata",0
"295","KRP","2011.01","Alethe diademata",10
"296","MAS","2011.01","Alethe diademata",0
"297","NAK","2011.01","Alethe diademata",0
"298","NNN","2011.01","Alethe diademata",0
"299","PSH","2011.01","Alethe diademata",0
"300","RNF","2011.01","Alethe diademata",0
"301","UDZ","2011.01","Alethe diademata",0
"302","VB-","2011.01","Alethe diademata",0
"303","YAN","2011.01","Alethe diademata",0
"304","YAS","2011.01","Alethe diademata",0
"305","BBS","2012.01","Alethe diademata",0
"306","BCI","2012.01","Alethe diademata",0
"307","BIF","2012.01","Alethe diademata",0
"308","CAX","2012.01","Alethe diademata",0
"309","COU","2012.01","Alethe diademata",0
"310","CSN","2012.01","Alethe diademata",0
"311","KRP","2012.01","Alethe diademata",0
"312","MAS","2012.01","Alethe diademata",0
"313","NAK","2012.01","Alethe diademata",0
"314","NNN","2012.01","Alethe diademata",0
"315","PSH","2012.01","Alethe diademata",0
"316","RNF","2012.01","Alethe diademata",0
"317","UDZ","2012.01","Alethe diademata",0
"318","VB-","2012.01","Alethe diademata",0
"319","YAN","2012.01","Alethe diademata",0
"320","YAS","2012.01","Alethe diademata",0
"321","BBS","2013.01","Alethe diademata",0
"322","BCI","2013.01","Alethe diademata",0
"323","BIF","2013.01","Alethe diademata",0
"324","CAX","2013.01","Alethe diademata",0
"325","COU","2013.01","Alethe diademata",0
"326","CSN","2013.01","Alethe diademata",0
"327","KRP","2013.01","Alethe diademata",0
"328","MAS","2013.01","Alethe diademata",0
"329","NAK","2013.01","Alethe diademata",0
"330","NNN","2013.01","Alethe diademata",0
"331","PSH","2013.01","Alethe diademata",0
"332","RNF","2013.01","Alethe diademata",0
"333","UDZ","2013.01","Alethe diademata",0
"334","VB-","2013.01","Alethe diademata",0
"335","YAN","2013.01","Alethe diademata",0
"336","YAS","2013.01","Alethe diademata",0
"337","BBS","2007.01","Alethe fuelleborni",0
"338","BCI","2007.01","Alethe fuelleborni",0
"339","BIF","2007.01","Alethe fuelleborni",0
"340","CAX","2007.01","Alethe fuelleborni",0
"341","COU","2007.01","Alethe fuelleborni",0
"342","CSN","2007.01","Alethe fuelleborni",0
"343","KRP","2007.01","Alethe fuelleborni",0
"344","MAS","2007.01","Alethe fuelleborni",0
"345","NAK","2007.01","Alethe fuelleborni",0
"346","NNN","2007.01","Alethe fuelleborni",0
"347","PSH","2007.01","Alethe fuelleborni",0
"348","RNF","2007.01","Alethe fuelleborni",0
"349","UDZ","2007.01","Alethe fuelleborni",0
"350","VB-","2007.01","Alethe fuelleborni",0
"351","YAN","2007.01","Alethe fuelleborni",0
"352","YAS","2007.01","Alethe fuelleborni",0
"353","BBS","2008.01","Alethe fuelleborni",0
"354","BCI","2008.01","Alethe fuelleborni",0
"355","BIF","2008.01","Alethe fuelleborni",0
"356","CAX","2008.01","Alethe fuelleborni",0
"357","COU","2008.01","Alethe fuelleborni",0
"358","CSN","2008.01","Alethe fuelleborni",0
"359","KRP","2008.01","Alethe fuelleborni",0
"360","MAS","2008.01","Alethe fuelleborni",0
"361","NAK","2008.01","Alethe fuelleborni",0
"362","NNN","2008.01","Alethe fuelleborni",0
"363","PSH","2008.01","Alethe fuelleborni",0
"364","RNF","2008.01","Alethe fuelleborni",0
"365","UDZ","2008.01","Alethe fuelleborni",0
"366","VB-","2008.01","Alethe fuelleborni",0
"367","YAN","2008.01","Alethe fuelleborni",0
"368","YAS","2008.01","Alethe fuelleborni",0
"369","BBS","2009.01","Alethe fuelleborni",0
"370","BCI","2009.01","Alethe fuelleborni",0
"371","BIF","2009.01","Alethe fuelleborni",0
"372","CAX","2009.01","Alethe fuelleborni",0
"373","COU","2009.01","Alethe fuelleborni",0
"374","CSN","2009.01","Alethe fuelleborni",0
"375","KRP","2009.01","Alethe fuelleborni",0
"376","MAS","2009.01","Alethe fuelleborni",0
"377","NAK","2009.01","Alethe fuelleborni",0
"378","NNN","2009.01","Alethe fuelleborni",0
"379","PSH","2009.01","Alethe fuelleborni",0
"380","RNF","2009.01","Alethe fuelleborni",0
"381","UDZ","2009.01","Alethe fuelleborni",0
"382","VB-","2009.01","Alethe fuelleborni",0
"383","YAN","2009.01","Alethe fuelleborni",0
"384","YAS","2009.01","Alethe fuelleborni",0
"385","BBS","2010.01","Alethe fuelleborni",0
"386","BCI","2010.01","Alethe fuelleborni",0
"387","BIF","2010.01","Alethe fuelleborni",0
"388","CAX","2010.01","Alethe fuelleborni",0
"389","COU","2010.01","Alethe fuelleborni",0
"390","CSN","2010.01","Alethe fuelleborni",0
"391","KRP","2010.01","Alethe fuelleborni",0
"392","MAS","2010.01","Alethe fuelleborni",0
"393","NAK","2010.01","Alethe fuelleborni",0
"394","NNN","2010.01","Alethe fuelleborni",0
"395","PSH","2010.01","Alethe fuelleborni",0
"396","RNF","2010.01","Alethe fuelleborni",0
"397","UDZ","2010.01","Alethe fuelleborni",0
"398","VB-","2010.01","Alethe fuelleborni",0
"399","YAN","2010.01","Alethe fuelleborni",0
"400","YAS","2010.01","Alethe fuelleborni",0
"401","BBS","2011.01","Alethe fuelleborni",0
"402","BCI","2011.01","Alethe fuelleborni",0
"403","BIF","2011.01","Alethe fuelleborni",0
"404","CAX","2011.01","Alethe fuelleborni",0
"405","COU","2011.01","Alethe fuelleborni",0
"406","CSN","2011.01","Alethe fuelleborni",0
"407","KRP","2011.01","Alethe fuelleborni",0
"408","MAS","2011.01","Alethe fuelleborni",0
"409","NAK","2011.01","Alethe fuelleborni",0
"410","NNN","2011.01","Alethe fuelleborni",0
"411","PSH","2011.01","Alethe fuelleborni",0
"412","RNF","2011.01","Alethe fuelleborni",0
"413","UDZ","2011.01","Alethe fuelleborni",15
"414","VB-","2011.01","Alethe fuelleborni",0
"415","YAN","2011.01","Alethe fuelleborni",0
"416","YAS","2011.01","Alethe fuelleborni",0
"417","BBS","2012.01","Alethe fuelleborni",0
"418","BCI","2012.01","Alethe fuelleborni",0
"419","BIF","2012.01","Alethe fuelleborni",0
"420","CAX","2012.01","Alethe fuelleborni",0
"421","COU","2012.01","Alethe fuelleborni",0
"422","CSN","2012.01","Alethe fuelleborni",0
"423","KRP","2012.01","Alethe fuelleborni",0
"424","MAS","2012.01","Alethe fuelleborni",0
"425","NAK","2012.01","Alethe fuelleborni",0
"426","NNN","2012.01","Alethe fuelleborni",0
"427","PSH","2012.01","Alethe fuelleborni",0
"428","RNF","2012.01","Alethe fuelleborni",0
"429","UDZ","2012.01","Alethe fuelleborni",0
"430","VB-","2012.01","Alethe fuelleborni",0
"431","YAN","2012.01","Alethe fuelleborni",0
"432","YAS","2012.01","Alethe fuelleborni",0
"433","BBS","2013.01","Alethe fuelleborni",0
"434","BCI","2013.01","Alethe fuelleborni",0
"435","BIF","2013.01","Alethe fuelleborni",0
"436","CAX","2013.01","Alethe fuelleborni",0
"437","COU","2013.01","Alethe fuelleborni",0
"438","CSN","2013.01","Alethe fuelleborni",0
"439","KRP","2013.01","Alethe fuelleborni",0
"440","MAS","2013.01","Alethe fuelleborni",0
"441","NAK","2013.01","Alethe fuelleborni",0
"442","NNN","2013.01","Alethe fuelleborni",0
"443","PSH","2013.01","Alethe fuelleborni",0
"444","RNF","2013.01","Alethe fuelleborni",0
"445","UDZ","2013.01","Alethe fuelleborni",0
"446","VB-","2013.01","Alethe fuelleborni",0
"447","YAN","2013.01","Alethe fuelleborni",0
"448","YAS","2013.01","Alethe fuelleborni",0
"449","BBS","2007.01","Alethe poliocephala",0
"450","BCI","2007.01","Alethe poliocephala",0
"451","BIF","2007.01","Alethe poliocephala",0
"452","CAX","2007.01","Alethe poliocephala",0
"453","COU","2007.01","Alethe poliocephala",0
"454","CSN","2007.01","Alethe poliocephala",0
"455","KRP","2007.01","Alethe poliocephala",0
"456","MAS","2007.01","Alethe poliocephala",0
"457","NAK","2007.01","Alethe poliocephala",0
"458","NNN","2007.01","Alethe poliocephala",0
"459","PSH","2007.01","Alethe poliocephala",0
"460","RNF","2007.01","Alethe poliocephala",0
"461","UDZ","2007.01","Alethe poliocephala",0
"462","VB-","2007.01","Alethe poliocephala",0
"463","YAN","2007.01","Alethe poliocephala",0
"464","YAS","2007.01","Alethe poliocephala",0
"465","BBS","2008.01","Alethe poliocephala",0
"466","BCI","2008.01","Alethe poliocephala",0
"467","BIF","2008.01","Alethe poliocephala",0
"468","CAX","2008.01","Alethe poliocephala",0
"469","COU","2008.01","Alethe poliocephala",0
"470","CSN","2008.01","Alethe poliocephala",0
"471","KRP","2008.01","Alethe poliocephala",0
"472","MAS","2008.01","Alethe poliocephala",0
"473","NAK","2008.01","Alethe poliocephala",0
"474","NNN","2008.01","Alethe poliocephala",0
"475","PSH","2008.01","Alethe poliocephala",0
"476","RNF","2008.01","Alethe poliocephala",0
"477","UDZ","2008.01","Alethe poliocephala",0
"478","VB-","2008.01","Alethe poliocephala",0
"479","YAN","2008.01","Alethe poliocephala",0
"480","YAS","2008.01","Alethe poliocephala",0
"481","BBS","2009.01","Alethe poliocephala",0
"482","BCI","2009.01","Alethe poliocephala",0
"483","BIF","2009.01","Alethe poliocephala",0
"484","CAX","2009.01","Alethe poliocephala",0
"485","COU","2009.01","Alethe poliocephala",0
"486","CSN","2009.01","Alethe poliocephala",0
"487","KRP","2009.01","Alethe poliocephala",0
"488","MAS","2009.01","Alethe poliocephala",0
"489","NAK","2009.01","Alethe poliocephala",0
"490","NNN","2009.01","Alethe poliocephala",0
"491","PSH","2009.01","Alethe poliocephala",0
"492","RNF","2009.01","Alethe poliocephala",0
"493","UDZ","2009.01","Alethe poliocephala",0
"494","VB-","2009.01","Alethe poliocephala",0
"495","YAN","2009.01","Alethe poliocephala",0
"496","YAS","2009.01","Alethe poliocephala",0
"497","BBS","2010.01","Alethe poliocephala",0
"498","BCI","2010.01","Alethe poliocephala",0
"499","BIF","2010.01","Alethe poliocephala",0
"500","CAX","2010.01","Alethe poliocephala",0
"501","COU","2010.01","Alethe poliocephala",0
"502","CSN","2010.01","Alethe poliocephala",0
"503","KRP","2010.01","Alethe poliocephala",0
"504","MAS","2010.01","Alethe poliocephala",0
"505","NAK","2010.01","Alethe poliocephala",0
"506","NNN","2010.01","Alethe poliocephala",0
"507","PSH","2010.01","Alethe poliocephala",0
"508","RNF","2010.01","Alethe poliocephala",0
"509","UDZ","2010.01","Alethe poliocephala",0
"510","VB-","2010.01","Alethe poliocephala",0
"511","YAN","2010.01","Alethe poliocephala",0
"512","YAS","2010.01","Alethe poliocephala",0
"513","BBS","2011.01","Alethe poliocephala",0
"514","BCI","2011.01","Alethe poliocephala",0
"515","BIF","2011.01","Alethe poliocephala",0
"516","CAX","2011.01","Alethe poliocephala",0
"517","COU","2011.01","Alethe poliocephala",0
"518","CSN","2011.01","Alethe poliocephala",0
"519","KRP","2011.01","Alethe poliocephala",130
"520","MAS","2011.01","Alethe poliocephala",0
"521","NAK","2011.01","Alethe poliocephala",0
"522","NNN","2011.01","Alethe poliocephala",0
"523","PSH","2011.01","Alethe poliocephala",0
"524","RNF","2011.01","Alethe poliocephala",0
"525","UDZ","2011.01","Alethe poliocephala",0
"526","VB-","2011.01","Alethe poliocephala",0
"527","YAN","2011.01","Alethe poliocephala",0
"528","YAS","2011.01","Alethe poliocephala",0
"529","BBS","2012.01","Alethe poliocephala",0
"530","BCI","2012.01","Alethe poliocephala",0
"531","BIF","2012.01","Alethe poliocephala",0
"532","CAX","2012.01","Alethe poliocephala",0
"533","COU","2012.01","Alethe poliocephala",0
"534","CSN","2012.01","Alethe poliocephala",0
"535","KRP","2012.01","Alethe poliocephala",50
"536","MAS","2012.01","Alethe poliocephala",0
"537","NAK","2012.01","Alethe poliocephala",0
"538","NNN","2012.01","Alethe poliocephala",0
"539","PSH","2012.01","Alethe poliocephala",0
"540","RNF","2012.01","Alethe poliocephala",0
"541","UDZ","2012.01","Alethe poliocephala",0
"542","VB-","2012.01","Alethe poliocephala",0
"543","YAN","2012.01","Alethe poliocephala",0
"544","YAS","2012.01","Alethe poliocephala",0
"545","BBS","2013.01","Alethe poliocephala",0
"546","BCI","2013.01","Alethe poliocephala",0
"547","BIF","2013.01","Alethe poliocephala",0
"548","CAX","2013.01","Alethe poliocephala",0
"549","COU","2013.01","Alethe poliocephala",0
"550","CSN","2013.01","Alethe poliocephala",0
"551","KRP","2013.01","Alethe poliocephala",0
"552","MAS","2013.01","Alethe poliocephala",0
"553","NAK","2013.01","Alethe poliocephala",0
"554","NNN","2013.01","Alethe poliocephala",0
"555","PSH","2013.01","Alethe poliocephala",0
"556","RNF","2013.01","Alethe poliocephala",0
"557","UDZ","2013.01","Alethe poliocephala",0
"558","VB-","2013.01","Alethe poliocephala",0
"559","YAN","2013.01","Alethe poliocephala",0
"560","YAS","2013.01","Alethe poliocephala",0
"561","BBS","2007.01","Alouatta palliata",0
"562","BCI","2007.01","Alouatta palliata",0
"563","BIF","2007.01","Alouatta palliata",0
"564","CAX","2007.01","Alouatta palliata",0
"565","COU","2007.01","Alouatta palliata",0
"566","CSN","2007.01","Alouatta palliata",0
"567","KRP","2007.01","Alouatta palliata",0
"568","MAS","2007.01","Alouatta palliata",0
"569","NAK","2007.01","Alouatta palliata",0
"570","NNN","2007.01","Alouatta palliata",0
"571","PSH","2007.01","Alouatta palliata",0
"572","RNF","2007.01","Alouatta palliata",0
"573","UDZ","2007.01","Alouatta palliata",0
"574","VB-","2007.01","Alouatta palliata",0
"575","YAN","2007.01","Alouatta palliata",0
"576","YAS","2007.01","Alouatta palliata",0
"577","BBS","2008.01","Alouatta palliata",0
"578","BCI","2008.01","Alouatta palliata",0
"579","BIF","2008.01","Alouatta palliata",0
"580","CAX","2008.01","Alouatta palliata",0
"581","COU","2008.01","Alouatta palliata",0
"582","CSN","2008.01","Alouatta palliata",0
"583","KRP","2008.01","Alouatta palliata",0
"584","MAS","2008.01","Alouatta palliata",0
"585","NAK","2008.01","Alouatta palliata",0
"586","NNN","2008.01","Alouatta palliata",0
"587","PSH","2008.01","Alouatta palliata",0
"588","RNF","2008.01","Alouatta palliata",0
"589","UDZ","2008.01","Alouatta palliata",0
"590","VB-","2008.01","Alouatta palliata",0
"591","YAN","2008.01","Alouatta palliata",0
"592","YAS","2008.01","Alouatta palliata",0
"593","BBS","2009.01","Alouatta palliata",0
"594","BCI","2009.01","Alouatta palliata",0
"595","BIF","2009.01","Alouatta palliata",0
"596","CAX","2009.01","Alouatta palliata",0
"597","COU","2009.01","Alouatta palliata",0
